Tamb,I,Tcoolant_in,mass_flowrate_optimal
30.9,393,28.795962823499554,0.0001
29.0,184,26.137287601557183,0.0017163265306122451
19.6,124,24.080768526745462,0.0001
22.3,326,21.775363850152935,0.0001
25.1,536,32.049190206109195,0.0001
27.5,728,24.53056612962208,0.0001
29.6,886,21.30078073946739,0.0001
31.3,992,22.118193668026386,0.0001
32.6,1034,30.35766869561825,0.0001
33.5,1014,28.664728321945354,0.0001
33.9,932,25.95456270823076,0.0001
33.800000000000004,794,26.124981333822276,0.0001
33.300000000000004,612,26.71313234536876,0.0001
32.300000000000004,403,28.16064241981176,0.0001
30.0,191,24.19487585655437,0.0035346938775510208
20.700000000000003,128,23.537041365503256,0.0001
23.9,331,26.44662181426974,0.0001
27.1,542,23.022750381111038,0.0001
29.8,732,25.013602652990723,0.0001
32.0,890,29.8156585385647,0.0001
33.5,994,27.016832422260695,0.0001
34.6,1039,24.790027872057916,0.0001
35.2,1015,24.942004372689034,0.0001
35.300000000000004,932,26.283221114485816,0.0001
35.1,794,22.838274666322437,0.0001
34.5,612,28.152089771820368,0.0001
33.5,405,26.23360284524225,0.002928571428571429
31.3,193,23.445287647055657,0.004140816326530613
23.1,129,24.65479394461331,0.0001
26.5,332,24.51601474052282,0.0001
30.4,544,26.63447885865838,0.0001
33.2,735,24.141944092544694,0.0001
34.9,892,25.04016928310701,0.0001
36.1,997,22.2990582852092,0.0001
36.9,1039,28.752681700270035,0.0001
37.4,1019,23.42105253586049,0.0001
37.5,936,27.845562466615856,0.0001
37.3,800,26.44244681355122,0.002322448979591837
36.7,619,24.085816299600204,0.0001
35.6,410,25.914141378892232,0.003938775510204082
33.0,197,28.28354618192685,0.002928571428571429
24.4,131,29.091982691235504,0.0001
28.0,338,25.53913729644414,0.0001
31.8,553,21.38991522689722,0.0035346938775510208
34.5,748,22.617720199849153,0.0001
36.1,904,27.810839098383706,0.0001
37.3,1007,23.3622181599972,0.0001
38.1,1050,20.393463779291398,0.0001
38.5,1030,21.953827452429884,0.0001
38.6,946,20.559908470034678,0.0001
38.400000000000006,808,26.02693883555966,0.0001
37.7,625,27.1115315157584,0.00333265306122449
36.6,414,24.548081378774697,0.004544897959183674
33.9,199,24.65927815194235,0.004544897959183674
24.3,131,22.48730384367314,0.0011102040816326532
27.6,338,26.678915099741985,0.0001
31.1,552,27.945695640795524,0.0001
33.4,745,24.466694985434867,0.0001
34.800000000000004,899,27.742350895566055,0.0001
35.7,1000,24.469086754191373,0.0001
36.3,1040,24.068938552003885,0.0001
36.7,1015,26.96058378019895,0.0001
36.7,927,26.437534665093178,0.0001
36.3,784,23.2715974580571,0.0001
35.2,603,23.959154285489383,0.0001
33.5,397,26.608367471567462,0.002928571428571429
30.8,190,25.326040473786147,0.00333265306122449
18.6,132,29.35788068033649,0.0001
22.0,338,26.61372260642914,0.0001
25.3,552,28.009925550062658,0.0001
27.6,746,26.399229462889178,0.0001
29.5,902,28.859484886934563,0.0001
30.9,1006,23.338891482723387,0.0001
31.9,1048,24.97545885830486,0.0001
32.5,1026,24.882012348887095,0.0001
32.7,943,25.217944757831244,0.0001
32.4,804,25.606808308896866,0.0001
31.700000000000003,622,21.013603539011864,0.00333265306122449
30.5,412,24.011001942410253,0.0025244897959183677
28.3,198,22.59555817747445,0.00333265306122449
21.6,123,23.820935331992644,0.0001
23.8,319,23.537218521098538,0.0001
31.0,392,25.7968235804532,0.0015142857142857145
28.9,196,26.45889801936298,0.000706122448979592
20.8,129,22.55888946796947,0.0001
23.8,329,24.76441151027675,0.0001
26.6,540,21.52519297069146,0.0001
29.0,729,22.971102419368968,0.0001
31.1,882,25.84445926017239,0.0001
32.6,970,29.696224460981338,0.0001
22.0,129,23.456439534860213,0.0001
25.3,330,26.926356090602887,0.0001
28.6,541,26.072051578075186,0.0001
31.200000000000003,732,25.311142346722047,0.0001
33.1,887,22.675893408765113,0.0001
34.4,992,24.817559346865913,0.0001
35.300000000000004,1035,24.920394272426794,0.0001
35.9,1017,27.65752663732152,0.0001
36.1,937,23.272141097343727,0.0025244897959183677
35.9,801,22.796147081265453,0.0001
35.4,603,18.953331195939043,0.0001
34.4,405,24.55147552452729,0.003938775510204082
24.1,121,19.769467642001917,0.003130612244897959
