time,air_temperature,ghi
2023-06-01 00:00:00,30.9,393
2023-06-01 01:00:00,29.0,184
2023-06-01 13:00:00,19.6,124
2023-06-01 14:00:00,22.3,326
2023-06-01 15:00:00,25.1,536
2023-06-01 16:00:00,27.5,728
2023-06-01 17:00:00,29.6,886
2023-06-01 18:00:00,31.3,992
2023-06-01 19:00:00,32.6,1034
2023-06-01 20:00:00,33.5,1014
2023-06-01 21:00:00,33.9,932
2023-06-01 22:00:00,33.800000000000004,794
2023-06-01 23:00:00,33.300000000000004,612
2023-06-02 00:00:00,32.300000000000004,403
2023-06-02 01:00:00,30.0,191
2023-06-02 13:00:00,20.700000000000003,128
2023-06-02 14:00:00,23.9,331
2023-06-02 15:00:00,27.1,542
2023-06-02 16:00:00,29.8,732
2023-06-02 17:00:00,32.0,890
2023-06-02 18:00:00,33.5,994
2023-06-02 19:00:00,34.6,1039
2023-06-02 20:00:00,35.2,1015
2023-06-02 21:00:00,35.300000000000004,932
2023-06-02 22:00:00,35.1,794
2023-06-02 23:00:00,34.5,612
2023-06-03 00:00:00,33.5,405
2023-06-03 01:00:00,31.3,193
2023-06-03 13:00:00,23.1,129
2023-06-03 14:00:00,26.5,332
2023-06-03 15:00:00,30.4,544
2023-06-03 16:00:00,33.2,735
2023-06-03 17:00:00,34.9,892
2023-06-03 18:00:00,36.1,997
2023-06-03 19:00:00,36.9,1039
2023-06-03 20:00:00,37.4,1019
2023-06-03 21:00:00,37.5,936
2023-06-03 22:00:00,37.3,800
2023-06-03 23:00:00,36.7,619
2023-06-04 00:00:00,35.6,410
2023-06-04 01:00:00,33.0,197
2023-06-04 13:00:00,24.4,131
2023-06-04 14:00:00,28.0,338
2023-06-04 15:00:00,31.8,553
2023-06-04 16:00:00,34.5,748
2023-06-04 17:00:00,36.1,904
2023-06-04 18:00:00,37.3,1007
2023-06-04 19:00:00,38.1,1050
2023-06-04 20:00:00,38.5,1030
2023-06-04 21:00:00,38.6,946
2023-06-04 22:00:00,38.400000000000006,808
2023-06-04 23:00:00,37.7,625
2023-06-05 00:00:00,36.6,414
2023-06-05 01:00:00,33.9,199
2023-06-05 13:00:00,24.3,131
2023-06-05 14:00:00,27.6,338
2023-06-05 15:00:00,31.1,552
2023-06-05 16:00:00,33.4,745
2023-06-05 17:00:00,34.800000000000004,899
2023-06-05 18:00:00,35.7,1000
2023-06-05 19:00:00,36.3,1040
2023-06-05 20:00:00,36.7,1015
2023-06-05 21:00:00,36.7,927
2023-06-05 22:00:00,36.3,784
2023-06-05 23:00:00,35.2,603
2023-06-06 00:00:00,33.5,397
2023-06-06 01:00:00,30.8,190
2023-06-06 13:00:00,18.6,132
2023-06-06 14:00:00,22.0,338
2023-06-06 15:00:00,25.3,552
2023-06-06 16:00:00,27.6,746
2023-06-06 17:00:00,29.5,902
2023-06-06 18:00:00,30.9,1006
2023-06-06 19:00:00,31.9,1048
2023-06-06 20:00:00,32.5,1026
2023-06-06 21:00:00,32.7,943
2023-06-06 22:00:00,32.4,804
2023-06-06 23:00:00,31.700000000000003,622
2023-06-07 00:00:00,30.5,412
2023-06-07 01:00:00,28.3,198
2023-06-07 13:00:00,21.6,123
2023-06-07 14:00:00,23.8,319
2023-06-08 00:00:00,31.0,392
2023-06-08 01:00:00,28.9,196
2023-06-08 13:00:00,20.8,129
2023-06-08 14:00:00,23.8,329
2023-06-08 15:00:00,26.6,540
2023-06-08 16:00:00,29.0,729
2023-06-08 17:00:00,31.1,882
2023-06-08 18:00:00,32.6,970
2023-06-09 13:00:00,22.0,129
2023-06-09 14:00:00,25.3,330
2023-06-09 15:00:00,28.6,541
2023-06-09 16:00:00,31.200000000000003,732
2023-06-09 17:00:00,33.1,887
2023-06-09 18:00:00,34.4,992
2023-06-09 19:00:00,35.300000000000004,1035
2023-06-09 20:00:00,35.9,1017
2023-06-09 21:00:00,36.1,937
2023-06-09 22:00:00,35.9,801
2023-06-09 23:00:00,35.4,603
2023-06-10 00:00:00,34.4,405
2023-06-10 13:00:00,24.1,121
2023-06-10 14:00:00,26.700000000000003,321
2023-06-10 15:00:00,29.3,529
2023-06-10 16:00:00,31.200000000000003,716
2023-06-10 17:00:00,32.2,866
2023-06-11 15:00:00,26.0,525
2023-06-11 16:00:00,28.0,693
2023-06-11 19:00:00,31.4,1017
2023-06-11 20:00:00,31.9,995
2023-06-11 21:00:00,32.0,912
2023-06-11 22:00:00,31.5,777
2023-06-11 23:00:00,30.4,601
2023-06-12 00:00:00,28.700000000000003,397
2023-06-12 01:00:00,26.6,194
2023-06-12 13:00:00,19.8,128
2023-06-12 14:00:00,22.9,328
2023-06-12 15:00:00,25.700000000000003,536
2023-06-12 16:00:00,27.700000000000003,727
2023-06-12 17:00:00,29.3,878
2023-06-12 18:00:00,30.6,980
2023-06-12 19:00:00,31.700000000000003,1025
2023-06-12 20:00:00,32.4,1003
2023-06-12 23:00:00,32.0,608
2023-06-13 00:00:00,31.0,404
2023-06-13 01:00:00,29.3,197
2023-06-13 13:00:00,21.9,125
2023-06-13 14:00:00,24.5,324
2023-06-13 15:00:00,27.0,532
2023-06-13 16:00:00,29.4,722
2023-06-13 17:00:00,31.700000000000003,879
2023-06-13 18:00:00,33.300000000000004,987
2023-06-13 19:00:00,34.4,1033
2023-06-13 20:00:00,35.1,1013
2023-06-13 21:00:00,35.4,935
2023-06-13 22:00:00,35.300000000000004,801
2023-06-13 23:00:00,34.9,624
2023-06-14 00:00:00,34.0,420
2023-06-14 01:00:00,32.1,210
2023-06-14 13:00:00,24.4,130
2023-06-14 14:00:00,27.6,329
2023-06-14 15:00:00,30.4,539
2023-06-14 16:00:00,32.5,730
2023-06-14 17:00:00,34.2,885
2023-06-14 18:00:00,35.4,990
2023-06-14 19:00:00,36.3,1036
2023-06-14 20:00:00,36.8,1015
2023-06-14 21:00:00,37.1,933
2023-06-14 22:00:00,37.1,799
2023-06-14 23:00:00,36.6,620
2023-06-15 00:00:00,35.7,415
2023-06-15 01:00:00,33.800000000000004,205
2023-06-15 13:00:00,24.700000000000003,124
2023-06-15 14:00:00,27.4,319
2023-06-15 15:00:00,29.8,525
2023-06-15 16:00:00,32.1,715
2023-06-15 17:00:00,34.1,870
2023-06-15 18:00:00,35.800000000000004,977
2023-06-15 19:00:00,37.0,1024
2023-06-15 20:00:00,37.7,1009
2023-06-15 21:00:00,37.9,933
2023-06-15 22:00:00,37.7,801
2023-06-15 23:00:00,37.1,625
2023-06-16 00:00:00,36.0,420
2023-06-16 01:00:00,33.9,211
2023-06-16 13:00:00,25.4,116
2023-06-16 14:00:00,27.5,314
2023-06-16 15:00:00,29.8,499
2023-06-16 16:00:00,31.700000000000003,700
2023-06-16 17:00:00,33.1,852
2023-06-16 18:00:00,34.0,955
2023-06-16 19:00:00,34.7,1000
